1511.706081,3.91E+75,0,100,32.30769231,*,*,*,/,*,*,*,*,/,*,*,*,*,/,*,*,*,/,*,*,*,*,*,*,+,*,*,*,/,*,*,*,f6,*,+,/,*,f6,f6,+,f6,*,+,*,*,+,+,f6,*,*,+,*,f6,*,+,*,*,/,+,*,*,*,*,f2,f6,f6,f6,f6,f8,f3,f6,f6,f6,f1,f6,f6,f6,f5,f6,f6,f6,f6,f6,f3,f6,f6,f1,f2,f6,f4,f1,f6,f4,f6,f1,f6,f1,f6,f2,f6,f6,f6,f6,f7,f6,f6,f2,f6,f6,f6,f6,f6,f6,f6,f6,,,,,,
30111.97983,3.87E+75,0,100,32.30769231,*,*,*,*,*,+,*,*,*,*,*,*,+,*,*,*,*,*,*,*,*,*,*,*,*,f6,f6,*,*,*,/,*,*,*,*,f6,*,*,*,*,*,*,*,*,*,*,*,*,*,f6,*,+,f6,*,*,f6,*,*,/,f6,f6,f6,f6,f6,f6,f6,f6,f1,f6,f6,f6,f6,f6,f6,f6,f6,f6,f4,f6,f2,f6,f6,f6,f6,f6,f8,f6,f6,f5,f1,f6,f6,f5,f6,f6,f2,f6,f6,f6,f6,f1,f4,f6,f6,f6,f7,f6,,,,,,,,,,,,,,
366867.0485,4.03E+75,0,100,32.30769231,*,*,*,*,/,*,/,*,*,*,/,*,*,*,/,*,*,*,*,*,*,/,*,*,*,*,*,*,*,/,*,f6,f6,/,*,*,*,*,*,*,*,*,+,f7,*,+,*,f6,*,*,f6,+,+,*,f6,*,*,/,*,/,*,+,*,f6,f7,f1,f6,f6,f6,f6,f1,f6,f6,f6,f1,f6,f1,f6,f6,f4,f6,f2,f6,f6,f1,f6,f4,f6,f6,f6,f6,f6,f3,f4,f6,f6,f2,f6,f6,f6,f1,f6,f1,f6,f7,f6,f1,f8,f6,f6,f6,f5,f6,f6,f6,,,,,,
1331.701452,4.09E+75,0,100,32.30769231,*,*,*,*,*,*,*,+,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,+,*,f6,+,*,*,*,+,*,f6,+,*,*,*,-,*,+,f6,f6,*,*,f6,*,*,*,+,*,f6,*,*,f6,*,*,*,f6,f8,f6,f6,f6,f3,f6,f6,f6,f1,f6,f6,f6,f2,f6,f6,f6,f6,f6,f6,f5,f8,f6,f8,f6,f6,f6,f1,f6,f1,f6,f6,f6,f6,f6,f6,f6,f1,f6,f6,f6,f6,f6,f6,f6,f6,f6,f6,f2,f6,,,,,,,,
9529.439827,4.47E+72,0,100,32.30769231,*,*,*,-,*,*,*,*,f6,*,*,*,*,/,*,-,*,+,*,*,*,*,*,*,*,*,/,*,*,-,*,*,*,*,f6,*,*,*,*,*,*,*,f6,*,*,*,*,f6,*,*,*,/,*,*,+,*,*,f7,f8,f6,f6,f6,f5,f6,f6,f6,f6,f6,f6,f6,f1,f1,f6,f6,f1,f6,f6,f6,f4,f5,f6,f6,f6,f6,f6,f6,f6,f6,f6,f6,f5,f6,f6,f6,f6,f7,f6,f2,f6,f6,f6,f6,f8,f6,f6,f1,f6,,,,,,,,,,,,,,
4996.116311,4.11E+75,0,100,32.30769231,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,+,f6,f6,f6,*,*,*,*,f6,*,*,*,+,f6,f6,f6,+,+,f6,+,+,+,f6,f6,+,*,*,*,f6,f6,f6,f6,f6,f6,f6,f6,f1,f6,f6,f6,f6,f6,f6,f8,f6,f6,f6,f6,f6,f6,f6,f6,f6,f2,f2,f6,f6,f4,f1,f6,f2,f6,f5,f7,f6,f4,f6,f4,f6,f6,f6,f6,,,,,,,,,,,,,,
3909.227121,1.49E+68,0,100,32.30769231,*,*,*,*,*,+,*,+,*,+,*,f6,*,*,+,f6,*,*,*,*,*,*,*,*,*,*,*,f6,*,*,*,*,*,*,*,f6,f6,*,*,*,*,/,/,*,*,*,*,*,*,*,f6,*,*,f6,f6,f6,f6,f1,f6,f6,f6,f6,f6,f1,f6,f6,f6,f1,f6,f6,f6,f6,f6,f6,f7,f6,f7,f6,f6,f6,f6,f6,f6,f6,f6,f6,f6,f1,f6,f6,f6,f6,f6,f6,f6,,,,,,,,,,,,,,,,,,,,,,,,,,
1925.918149,4.11E+75,0,100,32.30769231,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,+,*,f6,*,+,*,f6,+,*,*,*,+,+,f6,+,*,*,*,*,f6,*,f6,*,*,*,*,+,*,+,*,f6,f3,f3,f6,f6,f3,f6,f1,f6,f6,f2,f6,f6,f6,f4,f6,f6,f6,f6,f4,f6,f5,f7,f6,f1,f6,f4,f6,f6,f1,f4,f6,f6,f6,f2,f6,f4,f6,f6,f6,f6,f6,f1,f6,f6,f6,f6,f5,f6,f6,f6,f2,f6,f6,,,,
15021.08751,3.89E+75,0,100,32.30769231,*,*,*,*,*,*,*,*,-,*,*,*,*,*,*,*,*,f6,*,*,*,+,*,*,*,*,*,*,*,*,*,f6,*,+,*,f6,+,*,*,*,*,*,f6,f6,*,+,*,*,*,*,*,f6,*,+,*,+,*,f6,*,*,*,f6,f8,f6,f2,f6,f6,f3,f6,f6,f2,f6,f6,f6,f6,f6,f5,f6,f6,f6,f6,f2,f6,f6,f5,f6,f6,f6,f6,f6,f6,f6,f6,f1,f6,f4,f6,f1,f6,f4,f6,f6,f6,f6,f6,f6,f6,f6,f6,,,,,,,,,,,,
70645.48153,1.36E+62,0,100,32.30769231,*,-,*,*,f6,-,*,*,*,*,f6,/,*,*,*,*,*,*,*,*,/,*,*,*,*,*,*,*,*,*,*,*,*,*,*,+,*,/,*,*,*,*,*,f6,f6,f6,f6,f6,f6,f6,f6,f1,f6,f5,f6,f6,f6,f6,f6,f6,f6,f6,f6,f6,f6,f6,f6,f6,f6,f6,f6,f8,f6,f6,f6,f6,f6,f6,f6,f6,f6,f4,f6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1512.098439,3.75E+75,0,100,32.30769231,*,*,*,*,*,/,-,*,*,*,*,*,/,+,*,*,*,*,*,*,*,*,*,*,*,/,*,f6,f6,*,*,*,*,*,*,*,*,+,f6,*,*,*,*,*,f6,f6,*,*,*,f6,+,/,*,*,*,*,*,/,*,f6,f6,f6,f6,f6,f6,f6,f6,f6,f6,f1,f6,f6,f1,f1,f6,f6,f6,f1,f6,f5,f6,f6,f6,f1,f6,f6,f6,f6,f1,f2,f6,f7,f1,f6,f6,f6,f6,f6,f6,f6,f6,f6,f6,f6,f7,f6,f2,,,,,,,,,,,,,,
1013.405904,4.09E+75,0,100,32.30769231,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,f6,+,+,*,f6,f6,*,*,*,+,*,*,*,*,f6,f6,+,*,*,f6,+,*,*,f6,+,f6,f6,*,*,+,*,f6,f5,f6,f6,f4,f6,f6,f6,f6,f6,f6,f6,f7,f2,f6,f6,f6,f6,f6,f6,f6,f6,f6,f1,f6,f6,f6,f6,f8,f6,f1,f6,f6,f6,f6,f6,f1,f6,f6,f1,f6,f1,f6,f6,f5,,,,,,,,,,,,,,
2606.992973,9.13E+72,0,100,32.30769231,*,*,*,-,*,*,*,*,f6,-,*,*,*,*,-,+,*,*,/,*,*,*,*,*,*,*,*,*,+,*,/,*,*,*,f6,f6,-,*,*,*,f6,*,*,*,*,*,*,*,*,*,*,*,*,*,/,f5,-,f6,f6,f6,f7,f6,f1,f6,f6,f6,f6,f7,f6,f6,f6,f6,f6,f6,f6,f6,f6,f6,f6,f6,f6,f6,f6,f6,f6,f6,f6,f6,f6,f6,f6,f6,f6,f6,f6,f6,f6,f6,f2,f6,f6,f6,f7,f7,f1,,,,,,,,,,,,,,,,
2257.652227,4.10E+75,0,100,32.30769231,/,*,/,*,*,/,*,*,*,*,*,/,*,-,*,*,*,*,*,*,*,*,*,/,*,*,*,f6,*,*,*,*,+,*,*,*,*,*,*,+,f6,*,*,+,+,+,/,/,*,*,+,*,*,*,*,*,*,+,*,*,*,f2,f6,f7,f6,f6,f2,f6,f6,f6,f6,f6,f5,f6,f6,f6,f6,f6,f2,f6,f6,f4,f6,f6,f6,f6,f2,f6,f7,f6,f7,f2,f6,f6,f5,f6,f6,f4,f6,f3,f6,f1,f6,f6,f6,f6,f6,f6,f6,f6,f6,f2,f6,f6,f6,f6,f1,f6,f1,,
2211.59306,3.58E+75,0,100,32.30769231,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,-,*,*,*,*,*,*,*,*,*,*,*,*,+,*,*,*,+,f6,*,f8,+,*,*,f6,*,*,*,*,/,+,f6,+,f6,+,*,*,f6,+,*,*,*,+,f6,f6,f6,f2,f6,f6,f6,f6,f6,f6,f6,f1,f6,f6,f2,f6,f6,f8,f6,f6,f1,f6,f6,f6,f6,f6,f6,f1,f6,f7,f2,f6,f6,f1,f8,f6,f6,f6,f6,f6,f6,f1,f6,f6,f6,f2,f6,f6,f4,f6,,,,,,,,,,
11383.14368,1.89E+75,0,100,32.30769231,*,*,*,*,*,*,*,*,*,*,-,-,*,*,-,*,*,+,+,*,*,*,/,*,f6,*,*,*,*,f6,*,*,*,*,*,*,f6,f6,*,*,*,+,*,*,*,*,f6,*,*,*,f6,*,*,*,*,*,*,*,*,f6,f6,f6,f6,f6,f6,f6,f6,f6,f6,f6,f6,f6,f6,f6,f6,f2,f6,f6,f6,f6,f6,f6,f6,f1,f5,f6,f6,f6,f1,f6,f3,f6,f6,f6,f2,f1,f6,f6,f6,f6,f6,f6,f6,f6,f6,f6,f6,,,,,,,,,,,,,,
1178.406028,9.87E+70,0,100,32.30769231,*,*,*,*,*,*,*,-,-,*,*,-,-,*,*,*,f5,*,f7,*,*,*,*,*,-,*,-,*,*,*,*,*,*,f6,*,*,*,/,*,*,*,*,*,*,*,f5,f6,f6,*,f8,f6,*,*,*,f6,*,*,*,*,f6,f6,f6,f6,f6,f6,f6,f6,f6,f6,f6,f7,f1,f6,f1,f6,f6,f6,f6,f6,f6,f1,f6,f1,f6,f6,f6,f6,f6,f6,f6,f6,f1,f6,f6,f6,f1,f6,f6,f6,f6,f6,,,,,,,,,,,,,,,,,,,,
10385.92464,4.10E+75,0,100,32.30769231,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,/,*,*,*,*,+,f6,f6,+,f6,*,+,*,*,*,*,/,+,+,*,*,f6,+,f6,f6,f6,f6,*,*,/,*,f6,+,+,f6,*,f6,f6,f1,f6,f2,f6,f6,f6,f6,f1,f6,f6,f6,f6,f6,f6,f6,f6,f6,f8,f3,f6,f6,f7,f5,f6,f6,f6,f5,f6,f6,f6,f6,f6,f7,f6,f6,f6,f6,f3,f6,f2,f6,f6,,,,,,,,,,,,,,
30160.17979,3.90E+75,0,100,32.30769231,*,*,*,*,*,+,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,f6,f6,*,+,*,*,*,*,*,+,f6,*,*,*,*,*,*,*,f6,*,f6,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,f6,f6,f6,f3,f6,f6,f8,f6,f2,f6,f6,f6,f6,f6,f6,f6,f6,f4,f6,f5,f6,f1,f6,f6,f6,f6,f6,f1,f1,f6,f2,f6,f6,f6,f6,f6,f6,f6,f6,f6,f6,f6,f6,f5,f6,f6,f6,f6,f6,f1,,,,,,,,,,,,
2647.457261,3.92E+75,0,100,32.30769231,*,*,*,*,*,*,*,*,*,*,*,-,*,*,*,*,*,*,*,*,*,*,*,-,*,*,*,*,*,*,*,*,*,/,*,*,*,*,+,f6,+,*,*,f6,+,*,+,-,f6,*,+,f6,*,+,*,*,f6,+,f6,*,+,*,*,f6,f6,f6,f6,f6,f7,f6,f6,f1,f6,f6,f1,f6,f6,f1,f6,f1,f6,f6,f6,f6,f6,f6,f2,f6,f6,f4,f6,f4,f1,f1,f6,f6,f2,f6,f6,f6,f4,f6,f6,f6,f6,f6,f2,f6,f6,f6,f1,f6,f1,f6,f1,,,,,,
1432.864025,3.99E+75,0,100,32.30769231,*,*,*,*,*,*,*,*,*,*,*,*,-,*,*,*,*,*,+,*,-,*,*,*,*,+,*,*,*,*,*,*,*,*,+,*,*,f6,+,+,*,*,*,*,+,+,*,+,*,*,*,f1,/,*,+,*,*,f6,*,+,*,*,*,f6,f6,f1,f6,f6,f6,f6,f2,f6,f6,f6,f6,f3,f2,f1,f6,f6,f6,f5,f7,f6,f6,f6,f6,f6,f1,f6,f4,f6,f6,f6,f6,f8,f6,f6,f6,f2,f6,f8,f5,f6,f6,f5,f6,f6,f6,f6,f6,f6,f6,f3,f6,f6,f1,f2,f6,f6,f6
1762.086288,3.90E+75,0,100,32.30769231,*,*,*,*,*,/,*,*,-,*,*,*,/,*,*,*,*,*,-,*,*,*,+,*,*,/,*,*,*,*,*,f6,*,*,*,*,*,f2,f6,*,+,*,*,*,*,*,*,*,*,f6,*,/,*,*,*,*,*,+,*,*,f6,*,+,f6,f1,f6,f6,f8,f6,f6,f6,f1,f6,f6,f6,f6,f8,f6,f1,f6,f1,f6,f6,f6,f6,f6,f2,f6,f6,f8,f6,f6,f1,f6,f5,f8,f6,f8,f6,f6,f6,f8,f6,f6,f6,f6,f6,f4,f6,f6,f6,f6,f6,f6,f6,f4,f6,,,,
11385.66944,4.05E+75,0,100,32.30769231,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,+,*,*,*,*,*,*,*,*,*,*,*,*,*,f6,+,*,*,+,*,f6,*,*,*,*,f6,*,*,f6,f6,f6,+,*,*,*,*,f6,*,f6,*,*,f6,f6,*,f6,f6,f1,f6,f6,f8,f6,f6,f6,f6,f6,f1,f6,f6,f4,f6,f6,f1,f1,f6,f6,f6,f6,f6,f1,f6,f6,f1,f2,f6,f1,f6,f8,f6,f6,f6,f6,f6,f6,f1,f6,f6,f1,f6,,,,,,,,,,,,,,
6277.249988,3.70E+75,0,100,32.30769231,*,*,*,*,*,*,*,*,/,*,*,*,*,*,/,*,*,*,/,*,*,*,*,*,/,*,+,*,*,*,/,/,*,+,*,f6,*,/,*,*,+,f6,*,*,*,f6,+,f6,*,*,f7,*,*,*,*,*,*,+,*,f6,*,/,+,f6,f7,f6,f6,f6,f2,f6,f6,f6,f6,f4,f6,f1,f6,f8,f6,f6,f3,f8,f6,f6,f1,f6,f6,f6,f3,f6,f6,f6,f6,f1,f6,f6,f6,f6,f6,f8,f6,f6,f6,f6,f6,f1,f6,f6,f6,f6,f1,f7,f6,f6,f5,,,,,,
103069.1876,3.08E+75,0,100,32.30769231,*,*,*,*,*,*,*,*,*,*,*,*,*,+,*,/,*,*,*,/,*,*,*,*,/,*,*,*,*,/,*,*,/,/,*,*,*,f6,*,+,/,f6,*,f6,*,*,f6,*,f6,*,/,*,*,*,*,*,*,f6,+,*,/,*,*,f6,f6,f7,f6,f6,f7,f6,f6,f6,f6,f6,f6,f6,f6,f2,f6,f5,f6,f6,f6,f6,f6,f6,f6,f6,f6,f1,f6,f7,f4,f4,f6,f1,f6,f6,f8,f1,f6,f6,f6,f6,f6,f3,f6,f1,f6,f7,f6,f2,f6,f2,f6,,,,,,
1139.168945,3.28E+75,0,100,32.30769231,*,*,*,*,*,*,*,*,*,*,+,*,*,+,*,*,*,+,*,*,*,*,*,*,*,*,*,f6,*,*,*,*,*,*,*,*,f6,*,*,*,*,/,*,f6,*,f6,f6,*,*,*,*,*,*,*,*,*,*,*,+,/,*,f6,f1,f1,f6,f6,f6,f1,f6,f6,f6,f6,f6,f6,f5,f6,f6,f6,f1,f6,f7,f6,f6,f6,f6,f6,f6,f6,f6,f6,f6,f6,f2,f1,f6,f6,f1,f6,f6,f6,f6,f1,f6,f3,f6,f6,f6,f6,f4,f6,f7,f1,f6,,,,,,,,
7184.417756,3.80E+75,0,100,32.30769231,*,*,*,*,*,*,*,*,*,+,*,*,-,*,*,*,*,*,*,f6,*,*,*,*,*,*,*,*,*,*,*,+,*,*,*,f6,f6,f6,*,*,*,*,*,*,+,*,+,*,*,*,f6,-,-,f6,*,*,*,*,*,f6,*,f6,f1,f6,f6,f1,f6,f6,f6,f6,f6,f6,f6,f6,f6,f6,f6,f6,f1,f6,f6,f6,f4,f1,f6,f1,f6,f6,f6,f6,f8,f6,f6,f3,f8,f7,f2,f6,f8,f6,f6,f6,f6,f6,f6,f6,f6,f6,f6,,,,,,,,,,,,
64288.57333,2.55E+62,0,100,32.30769231,*,*,*,*,+,*,+,*,-,f6,*,*,-,f6,*,*,*,*,-,*,*,*,*,*,-,*,*,*,*,*,*,*,*,f4,*,*,*,*,*,*,*,*,*,*,*,f4,f6,*,*,*,*,f6,f6,f1,f6,f1,f6,f6,f1,f6,f6,f6,f6,f1,f6,f6,f6,f6,f6,f6,f6,f1,f6,f1,f6,f1,f6,f6,f6,f6,f6,f6,f6,f6,f6,f6,f6,f6,f6,f6,f6,f6,f1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1449.986473,4.07E+61,0,100,32.30769231,*,*,-,*,*,*,/,/,*,*,-,*,+,f6,f6,*,/,*,*,*,*,*,-,*,*,*,*,*,*,/,*,*,*,*,*,*,*,*,*,*,*,-,f6,*,*,*,*,f6,*,*,*,f6,f6,f6,f6,f7,f6,f6,f6,f6,f6,f6,f6,f6,f3,f1,f6,f6,f6,f6,f6,f6,f1,f6,f1,f6,f6,f6,f6,f3,f1,f6,f6,f6,f6,f6,f6,f6,f6,f6,f1,f6,f1,f6,f1,,,,,,,,,,,,,,,,,,,,,,,,,,
43802.7405,3.98E+75,0,100,32.30769231,*,*,*,*,*,*,*,*,*,*,*,*,/,*,*,*,+,*,*,*,*,*,*,+,*,/,/,*,*,*,*,*,*,f6,*,+,f6,*,*,*,*,+,+,*,*,*,f6,f6,f6,*,*,*,/,/,f6,*,*,*,+,*,*,*,*,f6,f5,f1,f6,f6,f6,f8,f6,f6,f6,f6,f1,f6,f4,f6,f6,f6,f4,f7,f6,f6,f8,f6,f6,f6,f4,f6,f6,f6,f6,f6,f6,f7,f6,f7,f6,f6,f6,f6,f6,f1,f6,f6,f5,f1,f6,f6,f6,f4,f6,f6,f1,,,,,,
